Url,Title,Overview,Genres
https://www.themoviedb.org/movie/1429460-imagine-dragons-live-from-the-hollywood-bowl-with-the-la-film-orchestra?language=en-US,Imagine Dragons: Live From The Hollywood Bowl (with the LA Film Orchestra),"Globally renowned, GRAMMY® Award-winning band Imagine Dragons enlisted the LA Film Orchestra to perform their biggest hits and new chart-topping songs against the backdrop of the iconic Hollywood Bowl. The band fuses their explosive, cathartic sound with gorgeous, intricate symphonic arrangements played on stage by over 50 musicians.",Music
https://www.themoviedb.org/movie/1428507-oroboro?language=en-US,Oroboro,We don't have an overview translated in English. Help us expand our database by adding one.,Documentary
https://www.themoviedb.org/movie/1425829-cleo-se-fait-des-films?language=en-US,Loud and Cleo !,Cleo seeks refuge from a hostile school environment in a glitter ball fantasy make believe world... and the boys toilets. Little does she know that someone else is hiding there too.,
https://www.themoviedb.org/movie/1425360-kaerestebreve-fra-thy?language=en-US,The Sound of Loveletters,"The frontman of the successful Danish band Ganger writes an album based on his parents' love letters, while rewriting his own life story in a charming and musical tale from the Danish West Coast.",Documentary
https://www.themoviedb.org/movie/1257409-the-shameless?language=en-US,The Shameless,"In the dead of night, Renuka escapes from a Delhi brothel after stabbing a policeman to death. She takes refuge in a community of sex workers in northern India, where she meets Devika, a young girl condemned to a life of prostitution. Their bond develops into a forbidden romance. Together, they embark on a perilous journey to escape the law and forge their path to freedom.","Drama, Romance"
https://www.themoviedb.org/movie/1248276?language=en-US,The Firebird,"An actress and theater dancer flies to India to find her mother, who once abandoned her and joined a certain sect. Soon she no longer understands whether what she sees is happening in India or whether it is the scenery inside her native theater. Masks, dolls, songs - does this happen in a small town square or on one of the venues in St. Petersburg?",Drama
https://www.themoviedb.org/movie/1436712-girl-boy?language=en-US,Girl-Boy,Four masculine-presenting Nigerians challenge gender norms and share their profound journeys via animation and childhood memories.,Documentary
https://www.themoviedb.org/movie/1406240?language=en-US,Eiga Oshiri Tantei: Star and Moon,"Story begins when Koala asks Butt Detective to find a missing relative who disappeared from an idol contest. The case takes Butt Detective to Stardust Island, the site of the contest, and also the home of the international criminal organization Phantom Thief Academy, headed by Phantom Thief G. Here, the organization advances its secret conspiracy, codenamed the Dark Age Plan. Butt Detective enters Stardust Island under the guise of an idol. At the same time, he joins forces with Phantom Thief U, who is out to steal back the valuable Moonlight Stone from Phantom Thief G. The story will also reveal more about Brown's past.",
https://www.themoviedb.org/movie/1400110-zlatans-nasa?language=en-US,Zlatan's Nose,"A film team hires a private detective to help them make a ""true crime"" about a nose stolen from the statue of the famous soccer player Zlatan Ibrahimović, but soon both the investigation and the film make an unexpected turn.",Documentary
https://www.themoviedb.org/movie/1225572-screamboat?language=en-US,Screamboat,A late-night boat ride turns into a desperate fight for survival in New York City when a mischievous mouse becomes a monstrous reality.,"Horror, Comedy"
https://www.themoviedb.org/movie/1399686-fighter?language=en-US,Fighter,"GK, a 30-year-old MMA-fighter, who`s whole identity was built on his physicality, faces a life-altering moment after a split-second decision to dive headfirst into the ocean. When told to expect a life in a wheelchair he gives himself two years to get back on his feet - or else he doesn’t want to live. This leads him down a rabbit hole of alternative treatments that sells hope, while the fear of his already fragile relationship ending pushes him to figure out who he really is. He seeks answers in the deep- seated childhood traumas that had pushed him to extreme, self-destructive physical limits. Amidst the darkness, he embarks on an inspiring journey of transformation proving that life’s worth goes far beyond physical abilities.",Documentary
https://www.themoviedb.org/movie/1231695-a-metros-de-distancia?language=en-US,A Few Feet Away,"Santiago, a 20 year-old twink shaped by the anonymity of the virtual world, becomes frustrated with gay dating apps and starts obsessively looking for a real experience in the Buenos Aires nightlife.","Comedy, Adventure, Drama"
https://www.themoviedb.org/movie/707911-1938-cuando-el-petroleo-fue-nuestro?language=en-US,1938: Cuando el petróleo fue nuestro,A chronicle of the Mexican oil expropriation in 1938 through the eyes of President Lazaro Cardenas and journalist Alberto Miranda.,"Drama, History"
https://www.themoviedb.org/movie/1391463-moon-romance-moon?language=en-US,"Romance de la Luna, Luna","Júlia takes her two daughters to spend the summer in an isolated commune in Seville. A mysterious ritual makes all the women disappear, including Isabel, the older sister, and their mother, leaving Elia alone and desperate to find them.",Drama
https://www.themoviedb.org/movie/1390154-ruido?language=en-US,Beef,"Lati, a young rapper of African descent, must confront her mother to succeed in the world of freestyle.","Drama, Music"
https://www.themoviedb.org/movie/1054283-minden-rendben?language=en-US,Growing Down,"Sándor, a widower, is the only witness to a serious accident involving his stepdaughter and youngest son. Now he faces a dilemma: should he tell the truth and live with the consequences? Or lie and save his son from juvenile detention?",Drama
https://www.themoviedb.org/movie/1378734?language=en-US,A Bad Summer,"Sasaki (Takumi Kitamura) is a sincere civil servant, working at city hall. Due to his timid personality, he can't properly deal with nasty people, including a single mother on the verge of giving up her own child, another civil servant pressing him to have a physical relationship, and a person who receives welfare benefits unfairly. His passivity leads him to get caught up in a terrible crime.","Drama, Crime"
https://www.themoviedb.org/movie/1378051-milton-bituca-nascimento?language=en-US,Milton Bituca Nascimento,We don't have an overview translated in English. Help us expand our database by adding one.,Documentary
https://www.themoviedb.org/movie/1214894-out-like-a-lamb?language=en-US,Out Like a Lamb,"After his father’s death, a grieving Yorkshire farmer is left with a choice between moving on to a new life with his fiancée or dutifully keeping the family’s lambing farm and risk losing his chance at true happiness.",Drama
https://www.themoviedb.org/movie/1214069-2?language=en-US,Palma 2,"After leaving commercial aviation, Vyacheslav Lazarev and his family move to the countryside, where he continues to go flying, but now on a small propellered AN-2. And the life of the Lazarev family goes on as usual, until one day a small bear cub, to whom Kolya, the pilot’s son, gives the nickname Mansur, bursts in. When Mansur is kidnapped by local poachers, the faithful sheepdog Palma comes to his aid. The two animals need to find their way home through a forest full of wild animals, hunters and other dangers. And the Lazarevs, who set off in search of their four-legged friends, will have to remember what it means to be a real family.","Drama, Family"
https://www.themoviedb.org/movie/1375762-shiver-me-timbers?language=en-US,Shiver Me Timbers,"In 1986 Northern California, Olive Oyl, her brother Castor and friends, go on a camping trip to see the meteor shower with Halley's comet. But the night turns into horror as a meteor transforms Popeye, into a unstoppable killing machine.","Horror, Comedy"
https://www.themoviedb.org/movie/1198288-zhdun?language=en-US,Ждун,"The alien Zhdun meets a boy who came to visit his grandparents for the holidays. The boy will have to help the alien return home, and Zhdun will help his family solve all the accumulated problems.","Comedy, Family, Science Fiction"
https://www.themoviedb.org/movie/1033786-papa-umer-v-subbotu?language=en-US,Dad Croaked on Saturday,"30-year-old Muscovite Aiko’s father, with whom she had not communicated for many years, died - he was a tyrant, and she does not feel sorry for him. But for some reason she goes to Kazakhstan for the funeral, where she sees her father’s second family for the first time: the sister is unbearable, the brother is out of this world, the stepmother is the same age as Aiko herself. And the strangest thing is that for them dad was completely different.",Drama
https://www.themoviedb.org/movie/1363899-before?language=en-US,True Beauty: Before,"Reina is bullied for her appearance and drops out. She encounters makeup and transforms into a ""goddess,"" which changes her life. However, a classmate discovers her secret bare face, which leads to unexpected challenges.","Romance, Comedy, Drama"
https://www.themoviedb.org/movie/1362608-pikku-siperia?language=en-US,Little Siberia,"The everyday life of the small village of Hurmevaara is shaken when a meteorite falls through the roof of a car one night. According to the town’s mayor, the meteorite is very valuable for the future of the slowly dying village. Joel, the village priest, and a veteran peacekeeper, ends up guarding the meteorite in an old museum before it is sent to London for a more detailed evaluation. But a precious meteorite gets a lot of attention… While Joel protects the meteorite from both amateur and professional criminals, he tries to unravel an even greater mystery surrounding his own life. Joel’s wife has recently revealed that she, finally, is pregnant. Great news, but unfortunately, Joel is unable to have children due to his war injury. He just hasn’t told his wife…","Comedy, Thriller"
https://www.themoviedb.org/movie/1361929-heavenly-bodies?language=en-US,Heavenly Bodies,"A boy and a girl go on a date; after it though, the girl must decide if she'll follow her inner thoughts or go with what society expects of her.",
https://www.themoviedb.org/movie/1373801-baus?language=en-US,BAUS 映画から船出した映画館,We don't have an overview translated in English. Help us expand our database by adding one.,Drama
https://www.themoviedb.org/movie/1359180-l-albero?language=en-US,L'albero,"Bianca is 23 years old, and it already feels like too much. She has left her parents' home and is supposed to attend university, but she never goes. She has a few specific obsessions: the passing of time, cocaine, and Angelica. Since they started living together, everything seems to move faster, spiraling downwards. Even their friendship stumbles into addiction and becomes confused with love. Bianca keeps a notebook, jotting down notes for her books. Still, she wishes she could write everything in it: that youth is painful and already slipping away, that friendship breaks your heart, and that we constantly lose everything — and yet, maybe, in the end — between the night streets of Rome, the boys of Naples, and the tree that stands silently, visible through the window — nothing will be truly lost.",Drama
https://www.themoviedb.org/movie/1357797?language=en-US,Nemurubaka,"The story centers on the daily life of college dorm roommates Yumi Irusu and Ruka Kujirai. Ruka, the older of the two, is constantly penniless despite her being active in a band. Irusu works part-time at a second-hand bookstore.","Comedy, Drama"
https://www.themoviedb.org/movie/1185790-i-see-the-demon?language=en-US,I See the Demon,"At her surprise birthday party, an emotionally vulnerable woman experiences unexplainable phenomena that threaten to turn the best night of her life into a never-ending nightmare.","Horror, Science Fiction"
https://www.themoviedb.org/movie/1177375-sahela?language=en-US,Companion,"To their respective conservative Indian parents, Vir and Nitya are a happily married couple living in Parramatta, Sydney. They love to play the sitar together, she is a successful dentist, and he is studying for his accounting exam. However, as the cultural expectations ingrained into them from childhood start to take their toll, they both face challenges in their personal and professional lives. After reaching a breaking point, Vir comes out to Nitya about his sexuality, which causes a rift between them and brings shame to their families. Vir then decides to explore his own sexual identity with another man.",Drama
https://www.themoviedb.org/movie/1169789-bob-trevino-likes-it?language=en-US,Bob Trevino Likes It,A people-pleasing young woman is involuntarily estranged from her narcissistic father and unexpectedly befriends a childless man with the same name as her father on the internet.,"Comedy, Drama"
https://www.themoviedb.org/movie/1317920?language=en-US,The Red Envelope,"When Menn, a super-straight mugger-turned-police spy, accidentally picks up a mysterious red envelope, he is bound by a supernatural contract that forces him to wed a ghost. Fate plays an even crueler trick on him: his ""spouse"" is not only dead, but a cute and unapologetically progressive gay man named Titi.","Action, Comedy, Crime, Fantasy, Horror, Mystery"
https://www.themoviedb.org/movie/1317090?language=en-US,The Boy and the Dog,"New Takahisa Zeze movie, adaptation of the book ""Shonen to Inu."" To be released in Spring 2025.",Drama
https://www.themoviedb.org/movie/1314315-slager?language=en-US,This Is Not a Love Song,A famous film director in midlife crisis invites his fatal ex-girlfriend to a lake hotel to help him write a script based on their relationship.,"Romance, Drama"
https://www.themoviedb.org/movie/810832-privileg?language=en-US,Privilege,Henri unravels the infrastructure of the LGBTQIA+ Community as we take a stroll through his daily life and get a grasp of what it truly means being different while trying to live an honest life in a world ruled by politics and religion.,Documentary
https://www.themoviedb.org/movie/1303232-die-akademie?language=en-US,The Academy,"Jojo, a young art student, discovers the microcosm of an art academy with all of its opportunities and contradictions.",Drama
